Date,IF00.CFE,IC00.CFE,TF00.CFE,AU00.SHF,159920.OF,511880.SH
2012/1/4,2305.6,3109.8114,96.0721,319,0.8568,78.7476
2012/1/5,2291,2994.9886,96.0468,319,0.8624,78.7691
2012/1/6,2297.6,3007.8264,96.1727,334.6,0.8532,78.7905
2012/1/9,2376.8,3129.9477,96.24,334.6,0.8665,78.812
2012/1/10,2462.6,3259.0139,96.2697,336,0.872,78.8334
2012/1/11,2445.6,3260.33,96.2684,345,0.8784,78.8548
2012/1/12,2445.6,3259.424,96.2508,345.37,0.8768,78.8762
2012/1/13,2410.2,3150.2077,96.2639,345.37,0.8814,78.8976
2012/1/16,2352,3049.7278,96.2082,336,0.874,78.919
2012/1/17,2487.4,3219.5489,96.232,339.2,0.9015,78.9404
2012/1/18,2427.4,3154.2515,96.2354,338.68,0.9039,78.9617
2012/1/19,2470.2,3186.3147,96.3393,338.99,0.9155,78.9831
2012/1/20,2498.2,3229.995,96.4361,338,0.9228,79.0044
2012/1/30,2469.2,3207.3999,96.1601,353.79,0.9246,79.0257
2012/1/31,2476,3209.431,96.1629,351.52,0.9358,79.047
2012/2/1,2439.8,3181.9007,95.9923,351,0.9332,79.0683
2012/2/2,2487.2,3242.221,95.9433,351,0.9516,79.0895
2012/2/3,2509,3295.7006,95.9494,353,0.9526,79.1108
2012/2/6,2504.4,3324.2976,95.8706,353,0.9506,79.132
2012/2/7,2464.2,3270.1653,95.8597,353,0.9504,79.1533
2012/2/8,2536.4,3356.5576,95.8093,353,0.9637,79.1745
2012/2/9,2532.6,3380.2555,95.6976,353,0.963,79.1957
2012/2/10,2532.2,3398.1639,95.7223,353,0.9514,79.2169
2012/2/13,2531,3428.9928,95.8721,353,0.9562,79.238
2012/2/14,2519.6,3433.6201,95.9114,353,0.9578,79.2592
2012/2/15,2546.6,3485.7621,95.8272,353,0.9786,79.2803
2012/2/16,2533.6,3484.8396,95.805,351.35,0.975,79.3015
2012/2/17,2537.4,3473.2508,95.7112,353.63,0.9842,79.3226
2012/2/20,2552.4,3482.1664,95.881,354.3,0.981,79.3437
2012/2/21,2568.8,3524.8784,95.9084,355.98,0.9837,79.3648
2012/2/22,2595.8,3593.7549,95.856,357.3,0.9874,79.3859
2012/2/23,2606,3605.3321,95.8484,362.29,0.9803,79.4069
2012/2/24,2658.4,3659.8248,95.845,362.01,0.9804,79.428
2012/2/27,2669,3667.1321,95.7721,360.75,0.9721,79.449
2012/2/28,2668,3648.8701,95.7554,363,0.9877,79.47
2012/2/29,2650.8,3600.7105,95.8279,363.19,0.9922,79.491
2012/3/1,2639,3619.7353,95.828,355,0.9803,79.512
2012/3/2,2684.6,3696.4452,95.7625,355,0.9877,79.533
2012/3/5,2668.8,3700.3039,95.6012,351.01,0.9759,79.554
2012/3/6,2633,3663.4877,95.6636,350.5,0.9545,79.5749
2012/3/7,2613,3636.3295,95.7518,346.5,0.9475,79.5959
2012/3/8,2637.8,3693.923,95.7791,346.5,0.9603,79.6168
2012/3/9,2665,3748.7509,95.8077,350,0.967,79.6377
2012/3/12,2647.6,3771.1687,95.8141,350,0.9724,79.6586
2012/3/13,2676.8,3809.1072,95.8228,349.6,0.9816,79.6795
2012/3/14,2613.8,3637.8979,95.7966,349.6,0.9808,79.7004
2012/3/15,2586.8,3593.7646,95.7311,349.6,0.9831,79.7212
2012/3/16,2598.2,3688.8476,95.7637,344.44,0.9791,79.7421
2012/3/19,2629.4,3730.8143,95.7839,342.29,0.9679,79.7629
2012/3/20,2596.2,3649.5559,95.7677,342.29,0.9567,79.7837
2012/3/21,2601.6,3662.9636,95.7595,341,0.9561,79.8045
2012/3/22,2596.4,3645.7605,95.7979,341.9,0.9568,79.8253
2012/3/23,2571,3575.3672,95.8744,341.9,0.9442,79.8461
2012/3/26,2568.8,3571.6167,95.873,341.5,0.9435,79.8669
2012/3/27,2564.8,3558.5597,95.8152,345.5,0.9604,79.8876
2012/3/28,2493,3399.896,95.8701,343,0.9545,79.9083
2012/3/29,2464,3337.2513,95.9245,339,0.9423,79.9291
2012/3/30,2453.6,3328.6337,95.9235,343,0.9399,79.9498
2012/4/5,2511.4,3440.3653,96.0037,343,0.9429,79.9705
2012/4/6,2520.6,3462.263,95.9995,343,0.9436,79.9912
2012/4/9,2501,3422.2115,96.004,344.51,0.9426,80.0118
2012/4/10,2517,3462.2737,96.0497,337.5,0.9323,80.0325
2012/4/11,2521.4,3474.3905,96.0868,337.5,0.922,80.0531
2012/4/12,2572.2,3546.4127,96.0391,338.5,0.9301,80.0737
2012/4/13,2586.2,3580.1398,96.0078,342.98,0.9458,80.0944
2012/4/16,2574.2,3590.3229,96.0427,337.8,0.9434,80.115
2012/4/17,2549.6,3537.7902,96.0781,335.62,0.9403,80.1356
2012/4/18,2593.4,3618.125,96.0403,338,0.9509,80.1561
2012/4/19,2596,3609.0505,96.0214,335.12,0.9613,80.1767
2012/4/20,2621,3639.8931,96.0529,335.12,0.9625,80.1972
2012/4/23,2619.4,3596.2585,95.9937,336,0.9439,80.2178
2012/4/24,2605.4,3571.7297,96.0056,334.99,0.9469,80.2383
2012/4/25,2628.8,3622.8897,96.0187,336,0.9444,80.2588
2012/4/26,2638.8,3604.4943,96.0319,336.43,0.9504,80.2793
2012/4/27,2638.6,3570.018,96.079,338.35,0.9468,80.2998
2012/5/2,2686.8,3622.2545,96.1198,338.35,0.971,80.3203
2012/5/3,2694.8,3637.4099,96.1058,336.5,0.9686,80.3407
2012/5/4,2717.2,3660.9733,96.1036,336.5,0.9614,80.3612
2012/5/7,2714.2,3686.8398,96.1592,336.5,0.9381,80.3816
2012/5/8,2702.2,3685.7838,96.1555,336.5,0.9349,80.402
2012/5/9,2663.6,3621.4859,96.1618,336.5,0.9288,80.4224
2012/5/10,2663.4,3634.7942,96.2851,336.5,0.9251,80.4428
2012/5/11,2631.2,3619.4548,96.4464,336.5,0.9132,80.4632
2012/5/14,2603.8,3614.3033,96.811,330,0.9037,80.4835
2012/5/15,2604.2,3610.1981,97.421,330,0.912,80.5039
2012/5/16,2563.2,3565.8037,97.6106,313.13,0.884,80.5242
2012/5/17,2603.2,3618.2867,97.4079,317.03,0.8816,80.5445
2012/5/18,2576,3561.4647,97.5644,322.5,0.8696,80.5649
2012/5/21,2583,3559.2124,97.5148,326.69,0.8674,80.5851
2012/5/22,2607.6,3615.2366,97.4938,324.7,0.8725,80.6054
2012/5/23,2587.8,3613.1557,97.4813,319.26,0.8625,80.6257
2012/5/24,2582.2,3583.1256,97.8288,320.73,0.8576,80.646
2012/5/25,2565.4,3541.6479,98.2464,320.53,0.8601,80.6662
2012/5/28,2598.8,3592.2459,98.0405,324.44,0.864,80.6864
2012/5/29,2645,3648.9656,97.937,323.21,0.8759,80.7067
2012/5/30,2632.4,3655.3377,97.8114,318.3,0.8595,80.7269
2012/5/31,2635.6,3656.6762,97.7631,311,0.8573,80.747
2012/6/1,2629.2,3647.7566,97.8069,319.2,0.8537,80.7672
2012/6/4,2545.4,3528.2939,97.8422,332.92,0.8362,80.7874
2012/6/5,2552.4,3524.2082,97.7951,332.21,0.8393,80.8075
2012/6/6,2549,3507.2078,97.7159,332.05,0.8518,80.8277
2012/6/7,2533.8,3488.673,97.6778,331,0.8578,80.8478
2012/6/8,2513,3472.1324,97.8512,323.1,0.85,80.8679
2012/6/11,2552.2,3536.5803,97.5652,323.67,0.8706,80.888
2012/6/12,2540.8,3515.2233,97.4699,325,0.8684,80.9081
2012/6/13,2568,3579.9907,97.3733,328.7,0.8753,80.9282
2012/6/14,2558.8,3558.3931,97.3112,328.7,0.8641,80.9482
2012/6/15,2556,3554.7779,97.3304,328.7,0.8822,80.9683
2012/6/18,2572.4,3589.5883,97.1773,331.51,0.8899,80.9883
2012/6/19,2558,3563.5105,97.1415,333,0.8895,81.0084
2012/6/20,2549,3542.2071,97.0998,331.2,0.894,81.0284
2012/6/21,2510.8,3498.1225,97.18,331.2,0.8829,81.0484
2012/6/25,2467.6,3402.9247,97.1904,326,0.8685,81.0683
2012/6/26,2461,3399.8619,97.3042,324.97,0.8722,81.0883
2012/6/27,2454.8,3386.6432,97.406,324.43,0.8808,81.1083
2012/6/28,2439.4,3339.3136,97.5302,324.43,0.8741,81.1282
2012/6/29,2469,3381.3456,97.5569,328,0.894,81.1481
2012/7/2,2464,3418.8886,97.5203,328,0.8927,81.1681
2012/7/3,2469,3425.0016,97.5823,328,0.9067,81.188
2012/7/4,2469.6,3407.4371,97.5869,328,0.905,81.2079
2012/7/5,2444.8,3329.9449,97.6117,328,0.9106,81.2277
2012/7/6,2479.6,3396.5243,97.7773,330,0.911,81.2476
2012/7/9,2430.8,3311.0488,97.7546,330,0.8945,81.2675
2012/7/10,2422.6,3278.7644,97.8192,330,0.8916,81.2873
2012/7/11,2428.6,3316.2109,97.9091,330,0.8929,81.3071
2012/7/12,2446.4,3361.2161,97.9771,330,0.8748,81.3269
2012/7/13,2457,3346.391,97.9317,330,0.8781,81.3467
2012/7/16,2417,3225.5976,97.9558,330,0.8789,81.3665
2012/7/17,2422.4,3248.1956,97.8679,326.8,0.8937,81.3863
2012/7/18,2419.2,3266.2784,97.8479,326.8,0.8835,81.4061
2012/7/19,2422.8,3305.0585,97.7781,326.8,0.8979,81.4258
2012/7/20,2402.6,3282.9027,97.8753,326.8,0.9015,81.4456
2012/7/23,2378.2,3251.6734,97.7609,324.2,0.8767,81.4653
2012/7/24,2382.4,3274.3076,97.7801,324.2,0.8707,81.485
2012/7/25,2374,3246.0515,97.8069,324.49,0.8706,81.5047
2012/7/26,2365,3217.0706,97.74,327.79,0.8707,81.5244
2012/7/27,2372.2,3198.8105,97.7718,330.19,0.8875,81.5441
2012/7/30,2363.8,3134.3782,97.7664,331.7,0.9016,81.5637
2012/7/31,2363.2,3077.6225,97.6571,331.3,0.9118,81.5834
2012/8/1,2369.6,3133.143,97.6365,329.5,0.9128,81.603
2012/8/2,2351.2,3113.3467,97.6681,329.5,0.9079,81.6226
2012/8/3,2367.8,3175.6874,97.6312,325.5,0.9073,81.6422
2012/8/6,2384.4,3251.0997,97.5892,326,0.9216,81.6618
2012/8/7,2392.2,3281.2846,97.5393,326,0.9246,81.6814
2012/8/8,2391.2,3269.8215,97.4118,326,0.925,81.701
2012/8/9,2418.2,3317.1403,97.3632,326,0.9345,81.7205
2012/8/10,2411.6,3308.1691,97.397,326,0.9292,81.7401
2012/8/13,2367.8,3232.4275,97.4027,326,0.9267,81.7596
2012/8/14,2357.6,3263.0996,97.3175,326,0.9362,81.7791
2012/8/15,2339.6,3225.354,97.209,326,0.9257,81.7987
2012/8/16,2329.2,3201.963,97.1323,327.09,0.9217,81.8182
